T_inlet,T_initial,V_initial,Time_step,Temperature
300,291,0.055,2460,292.982
300,291,0.055,2520,293.028
300,291,0.06,60,291
300,291,0.06,120,291
300,291,0.06,180,291
300,291,0.06,240,291
300,291,0.06,300,291.007
300,291,0.06,360,291.159
300,291,0.06,420,291.288
300,291,0.06,480,291.419
300,291,0.06,540,291.689
300,291,0.06,600,291.662
300,291,0.06,660,291.528
300,291,0.06,720,291.432
300,291,0.06,780,291.368
300,291,0.06,840,291.325
300,291,0.06,900,291.313
300,291,0.06,960,291.331
300,291,0.06,1020,291.347
300,291,0.06,1080,291.369
300,291,0.06,1140,291.405
300,291,0.06,1200,291.451
300,291,0.06,1260,291.515
300,291,0.06,1320,291.587
300,291,0.06,1380,291.663
300,291,0.06,1440,291.739
300,291,0.06,1500,291.81
300,291,0.06,1560,291.891
300,291,0.06,1620,291.962
300,291,0.06,1680,292.06
300,291,0.06,1740,292.142
300,291,0.06,1800,292.264
300,291,0.06,1860,292.408
300,291,0.06,1920,292.435
300,291,0.06,1980,292.538
300,291,0.06,2040,292.652
300,291,0.06,2100,292.739
300,291,0.06,2160,292.869
300,291,0.06,2220,292.835
300,291,0.06,2280,292.935
300,291,0.06,2340,292.997
300,291,0.06,2400,293.077
300,291,0.06,2460,293.289
300,291,0.06,2520,293.053
300,292,0.04,60,292
300,292,0.04,120,292
300,292,0.04,180,292
300,292,0.04,240,292
300,292,0.04,300,292.001
300,292,0.04,360,292.093
300,292,0.04,420,292.227
300,292,0.04,480,292.246
300,292,0.04,540,292.21
300,292,0.04,600,292.172
300,292,0.04,660,292.142
300,292,0.04,720,292.12
300,292,0.04,780,292.105
300,292,0.04,840,292.096
300,292,0.04,900,292.093
300,292,0.04,960,292.097
300,292,0.04,1020,292.109
300,292,0.04,1080,292.126
300,292,0.04,1140,292.149
300,292,0.04,1200,292.177
300,292,0.04,1260,292.207
300,292,0.04,1320,292.237
300,292,0.04,1380,292.267
300,292,0.04,1440,292.3
300,292,0.04,1500,292.335
300,292,0.04,1560,292.362
300,292,0.04,1620,292.406
300,292,0.04,1680,292.449
300,292,0.04,1740,292.496
300,292,0.04,1800,292.566
300,292,0.04,1860,292.622
300,292,0.04,1920,292.68
300,292,0.04,1980,292.765
300,292,0.04,2040,292.829
300,292,0.04,2100,292.885
300,292,0.04,2160,292.944
300,292,0.04,2220,292.999
300,292,0.04,2280,293.064
300,292,0.04,2340,293.106
300,292,0.04,2400,293.158
300,292,0.04,2460,293.24
300,292,0.04,2520,293.286
300,292,0.045,60,292
300,292,0.045,120,292
300,292,0.045,180,292
300,292,0.045,240,292
300,292,0.045,300,292.007
300,292,0.045,360,292.179
300,292,0.045,420,292.259
300,292,0.045,480,292.23
300,292,0.045,540,292.186
300,292,0.045,600,292.151
300,292,0.045,660,292.124
300,292,0.045,720,292.107
300,292,0.045,780,292.096
300,292,0.045,840,292.092
300,292,0.045,900,292.096
300,292,0.045,960,292.108
300,292,0.045,1020,292.126
300,292,0.045,1080,292.152
300,292,0.045,1140,292.182
300,292,0.045,1200,292.213
300,292,0.045,1260,292.247
300,292,0.045,1320,292.282
300,292,0.045,1380,292.317
300,292,0.045,1440,292.349
300,292,0.045,1500,292.397
300,292,0.045,1560,292.441
300,292,0.045,1620,292.496
300,292,0.045,1680,292.571
300,292,0.045,1740,292.637
300,292,0.045,1800,292.7
300,292,0.045,1860,292.778
300,292,0.045,1920,292.886
300,292,0.045,1980,292.913
300,292,0.045,2040,292.99
300,292,0.045,2100,293.071
300,292,0.045,2160,293.097
300,292,0.045,2220,293.205
300,292,0.045,2280,293.231
300,292,0.045,2340,293.264
300,292,0.045,2400,293.319
300,292,0.045,2460,293.401
300,292,0.045,2520,293.441
300,292,0.05,60,292
300,292,0.05,120,292
300,292,0.05,180,292
300,292,0.05,240,292
300,292,0.05,300,292.04
300,292,0.05,360,292.246
300,292,0.05,420,292.259
300,292,0.05,480,292.211
300,292,0.05,540,292.167
300,292,0.05,600,292.134
300,292,0.05,660,292.112
300,292,0.05,720,292.098
300,292,0.05,780,292.091
300,292,0.05,840,292.094
300,292,0.05,900,292.105
300,292,0.05,960,292.124
300,292,0.05,1020,292.151
300,292,0.05,1080,292.183
300,292,0.05,1140,292.218
300,292,0.05,1200,292.253
300,292,0.05,1260,292.288
300,292,0.05,1320,292.329
300,292,0.05,1380,292.372
300,292,0.05,1440,292.42
300,292,0.05,1500,292.475
300,292,0.05,1560,292.558
300,292,0.05,1620,292.626
300,292,0.05,1680,292.691
300,292,0.05,1740,292.765
300,292,0.05,1800,292.865
300,292,0.05,1860,292.982
300,292,0.05,1920,293.078
300,292,0.05,1980,293.103
300,292,0.05,2040,293.185
300,292,0.05,2100,293.247
300,292,0.05,2160,293.259
300,292,0.05,2220,293.325
300,292,0.05,2280,293.323
300,292,0.05,2340,293.451
300,292,0.05,2400,293.393
300,292,0.05,2460,293.616
300,292,0.05,2520,293.606
300,292,0.055,60,292
300,292,0.055,120,292
300,292,0.055,180,292
300,292,0.055,240,292
300,292,0.055,300,292.119
300,292,0.055,360,292.279
300,292,0.055,420,292.249
300,292,0.055,480,292.195
300,292,0.055,540,292.152
300,292,0.055,600,292.122
300,292,0.055,660,292.104
300,292,0.055,720,292.093
300,292,0.055,780,292.092
300,292,0.055,840,292.101
300,292,0.055,900,292.118
300,292,0.055,960,292.146
300,292,0.055,1020,292.179
300,292,0.055,1080,292.215
300,292,0.055,1140,292.254
300,292,0.055,1200,292.293
300,292,0.055,1260,292.33
300,292,0.055,1320,292.387
300,292,0.055,1380,292.436
300,292,0.055,1440,292.524
300,292,0.055,1500,292.606
300,292,0.055,1560,292.683
300,292,0.055,1620,292.743
300,292,0.055,1680,292.901
300,292,0.055,1740,292.982
300,292,0.055,1800,293.024
300,292,0.055,1860,293.07
300,292,0.055,1920,293.17
300,292,0.055,1980,293.231
300,292,0.055,2040,293.371
300,292,0.055,2100,293.334
300,292,0.055,2160,293.438
300,292,0.055,2220,293.603
300,292,0.055,2280,293.429
300,292,0.055,2340,293.612
300,292,0.055,2400,293.639
300,292,0.055,2460,293.689
300,292,0.055,2520,293.727
300,292,0.06,60,292
300,292,0.06,120,292
300,292,0.06,180,292
300,292,0.06,240,292
300,292,0.06,300,292.201
300,292,0.06,360,292.285
300,292,0.06,420,292.234
300,292,0.06,480,292.179
300,292,0.06,540,292.138
300,292,0.06,600,292.112
300,292,0.06,660,292.096
300,292,0.06,720,292.09
300,292,0.06,780,292.096
300,292,0.06,840,292.111
300,292,0.06,900,292.137
300,292,0.06,960,292.171
300,292,0.06,1020,292.209
300,292,0.06,1080,292.25
300,292,0.06,1140,292.293
300,292,0.06,1200,292.333
300,292,0.06,1260,292.39
300,292,0.06,1320,292.454
300,292,0.06,1380,292.552
300,292,0.06,1440,292.633
300,292,0.06,1500,292.718
300,292,0.06,1560,292.857
300,292,0.06,1620,292.938
300,292,0.06,1680,293.024
300,292,0.06,1740,293.076
300,292,0.06,1800,293.226
300,292,0.06,1860,293.204
300,292,0.06,1920,293.378
300,292,0.06,1980,293.332
300,292,0.06,2040,293.627
300,292,0.06,2100,293.491
300,292,0.06,2160,293.473
300,292,0.06,2220,293.713
300,292,0.06,2280,293.679
300,292,0.06,2340,293.646
300,292,0.06,2400,293.92
300,292,0.06,2460,294.042
300,292,0.06,2520,294.054
300,293,0.04,60,293
300,293,0.04,120,293
300,293,0.04,180,293
300,293,0.04,240,293
300,293,0.04,300,293
300,293,0.04,360,293
300,293,0.04,420,293
300,293,0.04,480,293
300,293,0.04,540,293
300,293,0.04,600,293
300,293,0.04,660,293
300,293,0.04,720,293
300,293,0.04,780,293
300,293,0.04,840,293.001
300,293,0.04,900,293.004
300,293,0.04,960,293.012
300,293,0.04,1020,293.025
300,293,0.04,1080,293.045
300,293,0.04,1140,293.072
300,293,0.04,1200,293.104
300,293,0.04,1260,293.141
300,293,0.04,1320,293.182
300,293,0.04,1380,293.225
300,293,0.04,1440,293.269
300,293,0.04,1500,293.316
